datetime,cap_weighted_index,CW_noBTC,ponderated_index,MV,LV,HV,LB,HB,LB_EW,HB_EW,LB_noBTC,HB_noBTC
2016-09-03 00:00:00+00:00,106.96405276197282,55.22509281806583,1164.3238265772427,763.9829745426508,158.62507502582866,2559.117295449693,5484.737553702158,151.54572009281713,5484.737553702158,151.54572009281713,6015.281348051113,133.1831349587488
2016-09-04 00:00:00+00:00,108.73860816752479,56.073197307114555,1171.232760665725,774.1499416812982,158.8753024738784,2575.404797647125,5552.339132270074,151.4763606761296,5552.339132270074,151.4763606761296,6089.4220905528055,133.122179726574
2016-09-05 00:00:00+00:00,108.4170599579734,56.324832294269676,1179.0079495948714,777.1994626560963,158.32758386645781,2544.5947655782657,5587.208587223486,152.53620961342463,5587.208587223486,152.53620961342463,6127.664500503012,134.05360823517984
2016-09-06 00:00:00+00:00,109.00679750287043,55.70744701166305,1181.403043437756,766.7418821297912,157.98939897515896,2680.5197756726325,5643.400710345582,151.62184907589477,5643.400710345582,151.62184907589477,6189.292140260466,133.25003949832472
2016-09-07 00:00:00+00:00,109.72493891362483,55.77071107396041,1181.9776071419046,777.3947697290697,159.63954507041166,2549.6109207502323,5587.83637646115,153.26218154162657,5587.83637646115,153.26218154162657,6128.35301638091,134.6916151497319
2016-09-08 00:00:00+00:00,111.75589618501303,57.12348150876133,1228.9113800868445,779.9582212762489,159.59049216175475,2789.660074140145,6022.806968079979,153.50330470633494,6022.806968079979,153.50330470633494,6605.398720226738,134.90352175433523
2016-09-09 00:00:00+00:00,111.11139422104314,56.414330774176825,1235.618180298017,776.2940696387136,157.94976143208604,2746.942174651299,5982.899448492726,156.19592047035255,5982.899448492726,156.19592047035255,6561.630908937726,137.26987699334546
2016-09-10 00:00:00+00:00,111.28887938622532,56.64419446267773,1229.7879485988135,786.2046799487094,158.21433026192923,2632.7754652870963,5872.218489581921,157.61146237089204,5872.218489581921,157.61146237089204,6440.24367733333,138.5138996411896
2016-09-11 00:00:00+00:00,108.34665790424376,54.257052408144226,1210.1274080428045,771.3688333426508,156.38953567110622,2612.482025541194,5858.532745390583,152.93934179946774,5858.532745390583,152.93934179946774,6425.234098303831,134.40789345225573
2016-09-12 00:00:00+00:00,108.70697413671869,54.158022889328116,1246.7662268670915,789.9240871351142,160.1666063607605,2720.190874827916,6144.562520850021,154.73345619589395,6144.562520850021,154.73345619589395,6738.9318015142735,135.98461749068
2016-09-13 00:00:00+00:00,108.92325356545238,55.43662770398961,1273.2213710024876,794.7402635975093,162.4211367799109,2799.5731318562584,6392.158592141523,155.06502958248663,6392.158592141523,155.06502958248663,7010.478072399231,136.27601458898312
2016-09-14 00:00:00+00:00,109.1925772189906,55.245306063944014,1284.1586850470146,792.397272079132,162.17212433507495,2755.0361716309617,6563.785723540905,153.56569060934046,6563.785723540905,153.56569060934046,7198.706856770029,134.9583484438282
2016-09-15 00:00:00+00:00,109.79122813050863,59.68886206223589,1330.2806470998116,848.9455603975238,163.26520640004003,2788.0811039406035,6713.129892082533,161.10260809015287,6713.129892082533,161.10260809015287,7362.497226440913,141.58202806609134
2016-09-16 00:00:00+00:00,109.41488880614953,57.09594372195363,1350.0556677152845,848.478257038458,166.13808888425115,2823.603299809217,7061.888710133161,157.52272346830526,7061.888710133161,157.52272346830526,7744.991811213206,138.43591310859694
2016-09-17 00:00:00+00:00,109.04101670358024,57.07777171740652,1312.4757611744726,819.8564284846649,163.00945179260603,2730.38745930772,6766.72882490774,155.33702129518488,6766.72882490774,155.33702129518488,7421.280834178225,136.51504944234463
2016-09-18 00:00:00+00:00,109.72598293593654,57.2230796106903,1307.3217808785607,820.0465103825024,166.6658188507699,2738.229828067549,6705.169461118766,155.53018754969554,6705.169461118766,155.53018754969554,7353.76677554332,136.68481000917697
2016-09-19 00:00:00+00:00,109.46781431225266,57.5946770144558,1283.2097961944746,807.2463020122766,163.166747440715,2679.0310403414405,6573.352928980644,152.85061024789812,6573.352928980644,152.85061024789812,7209.199506941743,134.3299133799676
2016-09-20 00:00:00+00:00,109.23773280895102,57.755502644859234,1277.5220377915764,807.757659713925,164.7000508129501,2650.950279212902,6608.156497702383,150.6863163460113,6608.156497702383,150.6863163460113,7247.369657423451,132.42786397435685
2016-09-21 00:00:00+00:00,107.41852165932659,56.72453989814484,1268.8706360146464,806.3324447066274,163.47539960817346,2386.0402457711602,6434.899545138144,152.59620758163786,6434.899545138144,152.59620758163786,7057.353397761878,134.10633633263393
2016-09-22 00:00:00+00:00,107.24150111365374,56.73087453924782,1292.379782407638,803.6453446131244,160.39421422389367,2826.500450127166,6772.018870035828,150.25629982469732,6772.018870035828,150.25629982469732,7427.082590320202,132.04995195970167
2016-09-23 00:00:00+00:00,108.52772306612322,58.456350456051545,1304.68475542025,813.0473889406769,161.25691434404135,2791.3047107967186,6868.188314404046,150.98374281736295,6868.188314404046,150.98374281736295,7532.554595005294,132.68925169187256
2016-09-24 00:00:00+00:00,108.5496224992308,58.59060944864327,1298.209078207583,817.7374571853143,161.68871957441453,2792.2187230708473,6791.741897350314,151.16548184869504,6791.741897350314,151.16548184869504,7448.713444517016,132.8489696563413
