,crypto_name,first_date_marketcap
485,coinmetro-token,2019-08-01
390,chainx,2019-08-01
1057,birdchain,2019-08-02
209,bosagora,2019-08-05
973,membrana,2019-08-08
333,enecuum,2019-08-13
1144,blockium,2019-08-14
553,zeuxcoin,2019-08-14
182,mb8-coin,2019-08-21
1399,sessia,2019-08-21
323,cocos-bcx,2019-08-21
656,eminer,2019-08-22
1421,12ships,2019-08-26
107,12ships 3,2019-08-26
181,12ships 2,2019-08-26
745,gatechain-token,2019-08-26
140,perlin,2019-08-26
643,swipe,2019-08-26
548,tokoin,2019-08-28
757,videocoin,2019-08-28
341,planet,2019-08-28
329,ferrum-network,2019-08-29
1494,fibos,2019-08-29
324,streamit-coin,2019-09-02
765,mixmarvel,2019-09-02
1511,cryptocean,2019-09-02
134,cryptobonusmiles,2019-09-03
676,sealchain,2019-09-03
579,vidy,2019-09-04
1506,bidipass,2019-09-05
932,netbox-coin,2019-09-09
1477,nestree,2019-09-09
1258,emirex,2019-09-10
635,amino,2019-09-10
698,decentralized-vulnerability-platform,2019-09-11
887,probit,2019-09-13
1476,digitalbits,2019-09-13
1498,hedera-hashgraph,2019-09-17
1160,band-protocol,2019-09-18
808,telos,2019-09-19
913,hyper-speed-network,2019-09-20
34,3dcoin,2019-09-24
648,rupiah-token,2019-09-24
917,mx-token,2019-09-24
817,truefeedback,2019-09-25
61,pax-gold,2019-09-26
880,amond,2019-09-28
1338,business-credit-substitute,2019-09-30
28,color-platform,2019-10-03
199,eos-force,2019-10-10
1365,azbit,2019-10-13
1318,catex-token,2019-10-14
1191,chronocoin,2019-10-15
240,bitfex,2019-10-15
388,agora,2019-10-16
281,roobee,2019-10-17
246,bitpanda-ecosystem-token,2019-10-18
617,xensor,2019-10-21
1372,kava,2019-10-25
219,blockstack,2019-10-28
760,dad-chain,2019-10-31
375,swapcoinz,2019-10-31
1408,linka,2019-11-01
461,inlock,2019-11-01
997,hyperexchange,2019-11-08
1252,yap-stone,2019-11-09
1314,margix,2019-11-09
222,project-with,2019-11-09
947,ormeus-ecosystem,2019-11-19
1134,nervos-network,2019-11-19
173,tellor,2019-11-19
1260,cutcoin,2019-11-19
162,firmachain,2019-11-20
971,suterusu,2019-11-22
168,sharetoken,2019-11-26
32,lcx,2019-12-03
260,troy,2019-12-06
716,vnx-exchange,2019-12-11
91,safecapital,2019-12-11
448,kusama,2019-12-14
658,hex,2019-12-17
895,conun,2019-12-25
1433,rakon,2019-12-26
533,orchid,2019-12-26
708,pegnet,2019-12-26
945,npcoin,2019-12-26
401,betprotocol,2019-12-26
1194,apm-coin,2019-12-27
266,zynecoin,2019-12-30
85,tachyon-protocol,2020-01-03
1016,marcopolo-protocol,2020-01-06
549,road,2020-01-07
600,coinsbit-toke,2020-01-08
528,origin-protocol,2020-01-09
1230,orient-walt,2020-01-10
963,nyzo,2020-01-21
1517,keystone-of-opportunity-knowledge,2020-01-30
1197,celsius,2020-02-05
597,wazirx,2020-02-06
1114,handshake,2020-02-21
332,edgeware,2020-03-09
933,perth-mint-gold-token,2020-03-11
470,btse,2020-03-12
1250,wom-protocol,2020-03-17
821,hive,2020-03-26
348,energy-web-token,2020-03-30
899,proton,2020-04-06
910,solana,2020-04-10
526,deapcoin,2020-04-10
81,kardiachain,2020-04-18
1118,switch,2020-04-20
355,minter-network,2020-04-22
1455,cartesi,2020-04-23
601,aax-token,2020-04-24
455,just,2020-05-07
1462,keep-network,2020-05-13
17,2key-network,2020-05-14
844,celo,2020-05-22
256,uma,2020-05-25
224,lukso,2020-05-25
420,dxdao,2020-05-26
544,arweave,2020-05-27
130,kadena,2020-05-31
1373,robonomics-network,2020-06-08
284,render-token,2020-06-11
1193,compound,2020-06-16
359,finnexus,2020-06-18
321,balancer,2020-06-24
1171,ring-x-platform,2020-06-26
1208,lunchmoney,2020-06-29
1490,pnetwork,2020-07-01
820,darwinia-network,2020-07-02
1043,sora,2020-07-02
827,dmm-governance,2020-07-07
1509,aleph-im,2020-07-08
237,small-love-potion,2020-07-09
551,trustswap,2020-07-10
366,avalanche,2020-07-13
655,decentr,2020-07-14
595,nest-protocol,2020-07-14
1512,bzx,2020-07-14
151,orion-protocol,2020-07-16
674,meta,2020-07-18
621,fio-protocol,2020-07-19
102,yearn-finance,2020-07-20
297,nexus-mutual,2020-07-20
753,nervenetwork,2020-07-27
613,meter,2020-07-27
855,plutusdefi,2020-07-27
900,swingby,2020-07-28
1222,wrapped-nxm,2020-07-28
481,darwinia-commitment-token,2020-07-28
1328,yearn-finance-ii,2020-07-29
590,mcdex,2020-07-29
239,tendies,2020-07-31
1482,suku,2020-08-04
833,cream-finance,2020-08-04
964,dia-data,2020-08-04
458,milk-alliance,2020-08-05
1082,unitrade,2020-08-05
868,geeq,2020-08-07
777,yflink,2020-08-10
327,yam,2020-08-11
161,rmpl,2020-08-11
523,serum,2020-08-11
842,strong,2020-08-11
1448,cbdao,2020-08-11
77,meridian-network,2020-08-12
678,chi-gastoken,2020-08-13
1394,bitgear,2020-08-14
1475,curve,2020-08-14
1034,the-sandbox,2020-08-14
97,ethverse,2020-08-14
697,degenerator,2020-08-16
263,native-utility-token,2020-08-17
1270,hakka-finance,2020-08-17
109,anyswap,2020-08-17
767,mantra-dao,2020-08-18
1322,unilayer,2020-08-19
1497,pmeer,2020-08-19
1153,polkadot-new,2020-08-20
122,xiotri,2020-08-21
386,axis-defi,2020-08-22
570,open-predict-token,2020-08-24
1374,vidya,2020-08-25
627,growthdefi,2020-08-26
639,powerpool,2020-08-28
1337,sushi,2020-08-28
188,tokamak-network,2020-08-29
411,distx,2020-09-01
1205,kimchi-finance,2020-09-01
1352,harvest-finance,2020-09-02
780,boosted-finance,2020-09-03
538,oin-finance,2020-09-03
1202,elrond-egld,2020-09-04
598,swerve,2020-09-05
858,salmonswap,2020-09-05
72,yfdai-finance,2020-09-08
1078,justliquidity,2020-09-08
190,alchemy-pay,2020-09-09
1165,amp,2020-09-11
573,sake-token,2020-09-11
1262,sun,2020-09-11
671,moonswap,2020-09-11
788,pickle-finance,2020-09-12
705,phala-network,2020-09-13
75,stafi,2020-09-13
1409,yieldfarming-insure,2020-09-14
113,hedget,2020-09-14
1279,golff,2020-09-14
387,aavegotchi-ghst-token,2020-09-15
653,frontier,2020-09-15
730,wing,2020-09-16
238,dego-finance,2020-09-17
972,uniswap,2020-09-17
1023,new-bitshares,2020-09-21
1290,linear,2020-09-21
1182,ytsla-finance,2020-09-22
748,yamv3,2020-09-22
1412,rotten,2020-09-25
1242,beowulf,2020-09-29
1223,burger-swap,2020-09-29
609,pancakeswap,2020-09-29
1388,rio-defi,2020-09-29
694,defi-bids,2020-09-29
547,flamingo,2020-09-30
1186,crust,2020-09-30
1189,lua-token,2020-09-30
931,cvault-finance,2020-09-30
1386,dhedge-dao,2020-09-30
1341,secret,2020-09-30
688,revv,2020-10-01
664,rarible,2020-10-01
367,piedao-dough-v2,2020-10-05
1237,shroom-finance,2020-10-05
492,polyient-games-governance-token,2020-10-06
475,doki-doki-finance,2020-10-12
890,non-fungible-yearn,2020-10-13
644,near-protocol,2020-10-14
447,file-coin,2020-10-15
80,nucypher,2020-10-16
370,zeroswap,2020-10-19
856,injective-protocol,2020-10-21
325,counos-x,2020-10-21
1003,bella-protocol,2020-10-22
79,unilend,2020-10-22
1493,pria,2020-10-22
1473,tontoken,2020-10-23
1286,huobi-btc,2020-10-23
746,ton-crystal,2020-10-26
633,hegic,2020-10-26
802,nexalt,2020-10-28
204,certik,2020-10-28
459,keep3rv1,2020-10-28
254,parsiq,2020-10-30
398,easyfi,2020-10-30
1383,unfederalreserve,2020-11-01
1018,keep4r,2020-11-03
44,gameswap,2020-11-04
591,alpha-finance-lab,2020-11-06
527,axie-infinity,2020-11-06
180,venus,2020-11-06
530,nsure-network,2020-11-06
227,lattice-token,2020-11-10
369,azuki,2020-11-11
1486,plotx,2020-11-13
1342,keeperdao,2020-11-16
950,bitcoin-cash-abc-2,2020-11-17
1104,apy-finance,2020-11-18
344,jarvis-network,2020-11-19
179,hermez-network,2020-11-19
233,synlev,2020-11-19
1007,trust-wallet-token,2020-11-19
675,dmscript,2020-11-20
1335,freeway-token,2020-11-20
1461,oasis-network,2020-11-20
234,saffron-finance,2020-11-20
784,truefi-token,2020-11-22
824,wink,2020-11-22
110,88mph 3,2020-11-24
873,ethereum-yield,2020-11-24
1248,88mph,2020-11-24
177,88mph 2,2020-11-24
1275,unifi-protocol-dao,2020-11-24
250,audius,2020-11-24
1060,leverj-gluon,2020-11-25
792,bonded-finance,2020-11-26
1066,muse,2020-11-30
244,api3,2020-11-30
374,etherisc,2020-12-01
153,skale-network,2020-12-01
213,zoracles,2020-12-03
241,base-protocol,2020-12-03
580,badger-dao,2020-12-07
1002,monavale,2020-12-07
362,kira-network,2020-12-08
9,hard-protocol,2020-12-08
1439,reflect-finance,2020-12-08
626,power-index-pool-token,2020-12-10
791,mirror-protocol,2020-12-10
864,offshift,2020-12-14
918,holyheld,2020-12-15
1228,katalyo,2020-12-15
157,dodo,2020-12-15
1361,the-graph,2020-12-17
142,mahadao,2020-12-18
1410,veruscoin,2020-12-18
1128,paris-saint-germain-fan-token,2020-12-22
379,juventus-fan-token,2020-12-22
1538,duck-dao,2020-12-22
499,marlin,2020-12-22
852,decoin,2020-12-24
721,1inch,2020-12-25
837,efforce,2020-12-25
710,whiteheart,2020-12-28
1180,bonfida,2020-12-28
700,bifrost,2020-12-29
394,shopping,2021-01-02
1246,smartkey,2021-01-03
267,frax-share,2021-01-04
21,radix,2021-01-04
184,bondly,2021-01-09
877,tokenlon-network-token,2021-01-11
1225,exeedme,2021-01-13
1368,yaxis,2021-01-14
1293,bitcoin-standard-hashrate-token,2021-01-14
1254,lido-dao,2021-01-14
183,duckdaodime,2021-01-18
166,oraichain-token,2021-01-18
1121,poolz-finance,2021-01-18
572,octofi,2021-01-18
336,barnbridge,2021-01-18
94,perpetual-protocol,2021-01-18
131,glitch,2021-01-20
1163,stake-dao,2021-01-22
230,polkacover,2021-01-22
1261,insured-finance,2021-01-22
510,buysell,2021-01-25
685,armor,2021-01-27
1514,flow,2021-01-27
978,akash-network,2021-01-27
380,polkabridge,2021-01-27
782,allianceblock,2021-01-27
1274,snowswap,2021-01-27
5,digg,2021-01-27
924,paid-network,2021-01-28
1302,opium,2021-01-29
719,archer-dao-governance-token,2021-01-31
1040,bridge-mutual,2021-01-31
295,polkastarter,2021-01-31
976,fuse-network,2021-02-01
1393,maps,2021-02-02
1438,name-changing-token,2021-02-02
13,reef,2021-02-02
1370,wootrade,2021-02-02
1301,titanswap,2021-02-02
1536,measurable-data-token,2021-02-02
1308,furucombo,2021-02-02
1199,dkargo,2021-02-02
1010,kebab-token,2021-02-03
137,auto,2021-02-03
1166,dextools,2021-02-03
490,blocery,2021-02-03
1150,gourmet-galaxy,2021-02-03
936,boringdao,2021-02-03
423,cudos,2021-02-03
1094,fsw-token,2021-02-03
1090,nftx-hashmasks-index,2021-02-07
3,razor-network,2021-02-07
133,optionroom,2021-02-09
605,safepal,2021-02-10
1170,umbrella-network,2021-02-10
835,torn,2021-02-10
866,deri-protocol,2021-02-11
763,finxflo,2021-02-11
1316,dao-maker,2021-02-11
419,litentry,2021-02-13
872,prosper,2021-02-13
358,cafeswap-token,2021-02-18
582,goose-finance,2021-02-18
568,zkswap,2021-02-18
1449,daoventures,2021-02-18
783,rai,2021-02-22
116,quickswap,2021-02-24
1100,superfarm,2021-02-24
1181,rari-governance-token,2021-02-24
335,p-quickswap,2021-02-24
125,tent,2021-02-25
1266,antimatter,2021-03-02
477,bmultiplier,2021-03-02
539,bounce,2021-03-02
473,vesper,2021-03-02
1532,alchemix,2021-03-02
368,bao-finance,2021-03-02
624,hathor,2021-03-02
907,unistake,2021-03-02
888,nord-finance,2021-03-02
593,hydro,2021-03-03
271,kylin,2021-03-04
479,paint,2021-03-04
1251,shadows,2021-03-04
1331,bscpad,2021-03-04
659,ruler-protocol,2021-03-05
995,creditcoin,2021-03-09
645,rally,2021-03-10
118,big-data-protocol,2021-03-10
828,math,2021-03-12
734,portion,2021-03-15
1491,mask-network,2021-03-15
560,myneighboralice,2021-03-15
651,hoge-finance,2021-03-15
647,balpha,2021-03-15
636,radicle,2021-03-15
1028,yvs-finance,2021-03-15
1304,shiba-inu,2021-03-15
1172,terra-virtua-kolekt,2021-03-15
744,crowns,2021-03-15
43,dsla-protocol,2021-03-16
519,oxygen,2021-03-16
1004,tower-token,2021-03-16
713,safemoon,2021-03-16
1391,props,2021-03-17
1084,konomi-network,2021-03-17
144,polkafoundry,2021-03-17
772,peanut,2021-03-18
1177,anchor-protocol,2021-03-18
1109,jasmy,2021-03-18
108,lepricon,2021-03-18
992,ethernity-chain,2021-03-22
416,nft,2021-03-22
1155,float-protocol,2021-03-22
1142,ellipsis,2021-03-24
1480,tidal-finance,2021-03-25
1299,symbol,2021-03-25
391,klaytn,2021-03-25
1140,ramp,2021-03-29
1081,convergence,2021-03-29
496,polkamarkets,2021-03-30
1091,cellframe,2021-03-30
1133,unmarshal,2021-03-30
1069,graphlinq-protocol,2021-03-31
1481,maro,2021-04-01
513,splyt,2021-04-01
1317,rage-fan,2021-04-01
1484,blank-wallet,2021-04-02
283,aioz-network,2021-04-05
545,mdex,2021-04-06
800,conflux-network,2021-04-06
96,tokocrypto,2021-04-08
1169,liquity,2021-04-09
1367,kattana,2021-04-09
723,nftx,2021-04-09
1537,visor-finance,2021-04-13
1515,k21,2021-04-13
59,alien-worlds,2021-04-14
216,epns,2021-04-14
673,sparkpoint,2021-04-15
111,genesis-shards,2021-04-15
1112,ampleforth-governance-token,2021-04-22
610,ecomi,2021-04-26
1099,xend-finance,2021-04-26
984,dogelon,2021-04-26
1267,smoothy,2021-04-28
414,method-finance,2021-04-28
412,bakerytoken,2021-04-29
885,spore-finance,2021-04-30
706,pangolin,2021-05-01
457,ureeqa,2021-05-04
402,internet-computer,2021-05-10
501,boson-protocol,2021-05-11
622,loser-coin,2021-05-11
921,waves-enterprise,2021-05-13
1443,webdollar,2021-05-13
129,strike,2021-05-13
1359,uncx,2021-05-13
506,bridge-oracle,2021-05-14
912,hapi-one,2021-05-14
294,trias-token,2021-05-14
1113,casper,2021-05-14
1358,raydium,2021-05-14
1030,mobilecoin,2021-05-14
1054,everest,2021-05-14
955,convex-finance,2021-05-18
1405,gitcoin,2021-05-25
143,automata-network,2021-06-07
274,smart-bitcoin,2021-06-14
1353,indexed-finance,2021-06-21
1416,peony,2021-06-23
1459,earneo,2021-06-23
584,mina,2021-06-24
1364,chronotech,2021-06-24
1430,covalent,2021-06-24
245,sun-contract,2021-06-24
242,dawn-protocol,2021-07-05
277,totemfi,2021-07-09
637,illuvium,2021-07-12
1059,dexe,2021-07-12
625,step-finance,2021-07-19
663,fox-token,2021-07-19
31,hyve,2021-07-21
1500,cryptoblades,2021-07-27
210,wall-street-games,2021-07-27
816,alpaca-finance,2021-07-27
1243,my-defi-pet,2021-07-27
1526,mist,2021-07-27
311,gala,2021-08-05
916,chain-guardians,2021-08-05
1089,efinity,2021-08-05
272,clover,2021-08-05
502,gamee,2021-08-05
1355,fractal,2021-08-05
261,fear-nfts,2021-08-09
1345,coin98,2021-08-09
1435,powertrade-fuel,2021-08-09
592,tribe,2021-08-23
666,superrare,2021-08-23
1213,julswap,2021-08-24
23,mobox,2021-08-26
1039,binemon,2021-08-27
12,solanium,2021-08-30
1210,solfarm,2021-08-30
1534,mango-markets,2021-08-30
357,solrise-finance,2021-08-30
535,o3swap,2021-08-30
882,decentral-games,2021-09-01
603,playdapp,2021-09-01
839,beefy-finance,2021-09-01
1032,bitdao,2021-09-02
279,adventure-gold,2021-09-03
200,atari-token,2021-09-03
988,moonriver,2021-09-06
207,vegaprotocol,2021-09-07
1075,dydx,2021-09-08
642,senso,2021-09-08
488,zelwin,2021-09-09
90,venus-bnb,2021-09-09
1024,orbit-chain,2021-09-09
26,chia-network,2021-09-09
1413,pundix-new,2021-09-09
540,steth,2021-09-09
1516,ecash,2021-09-09
822,yield-guild-games,2021-09-09
654,defichain,2021-09-09
961,the-transfer-token,2021-09-09
901,egoras,2021-09-09
1135,persistence,2021-09-09
1211,wbnb,2021-09-09
1027,youcash,2021-09-09
841,urus,2021-09-14
1502,plasma-finance,2021-09-15
1107,fabric,2021-09-15
101,raze-network,2021-09-17
337,dafi-protocol,2021-09-20
672,newscrypto,2021-10-04
1479,p-matic-network,2021-10-05
1351,p-uniswap,2021-10-05
287,p-aave,2021-10-05
275,dora-factory,2021-10-05
1403,p-chainlink,2021-10-05
257,impossible-finance,2021-10-07
1471,yield-app,2021-10-08
693,ribbon-finance,2021-10-08
138,cirus-foundation 2,2021-10-20
307,cirus-foundation,2021-10-20
225,rubic 2,2021-10-22
1362,rubic,2021-10-22
482,lossless,2021-10-27
714,ethereum-meta,2021-10-27
1400,lossless 2,2021-10-27
489,ethereum-meta 2,2021-10-27
641,ariva,2021-11-01
48,gods-unchained 2,2021-11-01
1428,blockzerolabs 2,2021-11-01
733,polkadex 2,2021-11-01
400,gods-unchained,2021-11-01
790,cyberfi 2,2021-11-01
353,blockzerolabs,2021-11-01
1206,ariva 2,2021-11-01
529,cyberfi,2021-11-01
174,polkadex,2021-11-01
1045,beta-finance 2,2021-11-01
1015,beta-finance,2021-11-01
789,berry-data 2,2021-11-02
1173,berry-data,2021-11-02
